pathway,selected_representative,is_representative,jaccard_to_representative,shared_genes_with_representative
Defective B3GAT3 causes JDSSDHD,Defective B3GALT6 causes EDSP2 and SEMDJL1,False,0.9,18
Degradation of DVL,Vif-mediated degradation of APOBEC3G,False,0.7727272727272727,34
Degradation of AXIN,Vif-mediated degradation of APOBEC3G,False,0.7857142857142857,33
Negative regulation of NOTCH4 signaling,Vif-mediated degradation of APOBEC3G,False,0.7727272727272727,34
Signaling by ALK,Signaling by ALK,True,1.0,21
Evasion by RSV of host interferon responses,Evasion by RSV of host interferon responses,True,1.0,19
Epigenetic regulation of adipogenesis genes by MLL3 and MLL4 complexes,Epigenetic regulation of adipogenesis genes by MLL3 and MLL4 complexes,True,1.0,57
Epigenetic regulation of gene expression by MLL3 and MLL4 complexes,Epigenetic regulation of adipogenesis genes by MLL3 and MLL4 complexes,False,1.0,57
MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis,Epigenetic regulation of adipogenesis genes by MLL3 and MLL4 complexes,False,1.0,57
Myogenesis,Myogenesis,True,1.0,20
"RORA,B,C and NR1D1 (REV-ERBA) regulate gene expression",Heme signaling,False,0.5121951219512195,21
Glucose metabolism,Gluconeogenesis,False,0.25,14
Metabolism of nucleotides,Nucleotide catabolism,False,0.3333333333333333,24
Erythropoietin activates RAS,Erythropoietin activates RAS,True,1.0,12
Signaling by MET,Developmental Lineage of Pancreatic Endocrine Mid Progenitor Cells,False,0.2711864406779661,16
Glycerophospholipid biosynthesis,Glycerophospholipid biosynthesis,True,1.0,77
Asymmetric localization of PCP proteins,Vif-mediated degradation of APOBEC3G,False,0.717391304347826,33
Metabolism of carbohydrates and carbohydrate derivatives,Metabolism of carbohydrates and carbohydrate derivatives,True,1.0,209
PI3K/AKT Signaling in Cancer,Constitutive Signaling by Aberrant PI3K in Cancer,False,0.6285714285714286,44
Mitochondrial Fatty Acid Beta-Oxidation,Mitochondrial Fatty Acid Beta-Oxidation,True,1.0,29
Regulation of BACH1 activity,Regulation of BACH1 activity,True,1.0,11
Negative Regulation of DNA Double Strand Break Response,Vif-mediated degradation of APOBEC3G,False,0.8095238095238095,34
MAPK6/MAPK4 signaling,Vif-mediated degradation of APOBEC3G,False,0.559322033898305,33
Developmental Cell Lineages,Developmental Lineage of Pancreatic Endocrine Mid Progenitor Cells,False,0.782608695652174,18
Retinoid metabolism and transport,Defective B3GALT6 causes EDSP2 and SEMDJL1,False,0.2894736842105263,11
The NLRP3 inflammasome,The NLRP3 inflammasome,True,1.0,12
Regulation of RUNX2 expression and activity,Vif-mediated degradation of APOBEC3G,False,0.6938775510204082,34
Orc1 removal from chromatin,Vif-mediated degradation of APOBEC3G,False,0.6666666666666666,34
Meiosis,Meiosis,True,1.0,47
ABC transporter disorders,Vif-mediated degradation of APOBEC3G,False,0.6111111111111112,33
Developmental Cell Lineages of the Exocrine Pancreas,Developmental Lineage of Pancreatic Endocrine Mid Progenitor Cells,False,0.8571428571428571,18
Defective CFTR causes cystic fibrosis,Vif-mediated degradation of APOBEC3G,False,0.7021276595744681,33
Regulation of Apoptosis,Vif-mediated degradation of APOBEC3G,False,0.868421052631579,33
GSK3B-mediated proteasomal degradation of PD-L1(CD274),Vif-mediated degradation of APOBEC3G,False,0.8095238095238095,34
Hh mutants abrogate ligand secretion,Vif-mediated degradation of APOBEC3G,False,0.7674418604651163,33
GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2,Vif-mediated degradation of APOBEC3G,False,0.8292682926829268,34
Ubiquitin-dependent degradation of Cyclin D,Vif-mediated degradation of APOBEC3G,False,0.8461538461538461,33
Metabolism of polyamines,Vif-mediated degradation of APOBEC3G,False,0.6041666666666666,29
Role of LAT2/NTAL/LAB on calcium mobilization,Role of LAT2/NTAL/LAB on calcium mobilization,True,1.0,11
Autodegradation of the E3 ubiquitin ligase COP1,Vif-mediated degradation of APOBEC3G,False,0.825,33
Recruitment of NuMA to mitotic centrosomes,Recruitment of NuMA to mitotic centrosomes,True,1.0,61
CDC42 GTPase cycle,CDC42 GTPase cycle,True,1.0,105
Diseases associated with glycosaminoglycan metabolism,Defective B3GALT6 causes EDSP2 and SEMDJL1,False,0.59375,19
SCF-beta-TrCP mediated degradation of Emi1,Vif-mediated degradation of APOBEC3G,False,0.8048780487804879,33
HATs acetylate histones,HATs acetylate histones,True,1.0,67
"Defective EXT1 causes exostoses 1, TRPS2 and CHDS",Defective B3GALT6 causes EDSP2 and SEMDJL1,False,0.5238095238095238,11
Defective EXT2 causes exostoses 2,Defective B3GALT6 causes EDSP2 and SEMDJL1,False,0.5238095238095238,11
Diseases of metabolism,Diseases of metabolism,True,1.0,167
Host Interactions of HIV factors,Vif-mediated degradation of APOBEC3G,False,0.40860215053763443,38
Adipogenesis,Epigenetic regulation of adipogenesis genes by MLL3 and MLL4 complexes,False,0.2815533980582524,29
Ubiquitin-Mediated Degradation of Phosphorylated Cdc25A,Vif-mediated degradation of APOBEC3G,False,0.723404255319149,34
p53-Independent G1/S DNA Damage Checkpoint,Vif-mediated degradation of APOBEC3G,False,0.723404255319149,34
PI3K events in ERBB2 signaling,Constitutive Signaling by Aberrant PI3K in Cancer,False,0.26666666666666666,12
Regulation of mRNA stability by proteins that bind AU-rich elements,Vif-mediated degradation of APOBEC3G,False,0.4583333333333333,33
ERBB2 Regulates Cell Motility,ERBB2 Regulates Cell Motility,True,1.0,11
ABC-family protein mediated transport,Vif-mediated degradation of APOBEC3G,False,0.4583333333333333,33
NOTCH1 Intracellular Domain Regulates Transcription,NOTCH1 Intracellular Domain Regulates Transcription,True,1.0,44
Regulation of PTEN stability and activity,Vif-mediated degradation of APOBEC3G,False,0.6346153846153846,33
SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,Signaling by TGF-beta Receptor Complex,False,0.32,24
AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274),Vif-mediated degradation of APOBEC3G,False,0.6346153846153846,33
Regulation of ornithine decarboxylase (ODC),Vif-mediated degradation of APOBEC3G,False,0.7073170731707317,29
Intraflagellar transport,Intraflagellar transport,True,1.0,36
Hh mutants are degraded by ERAD,Vif-mediated degradation of APOBEC3G,False,0.7857142857142857,33
Regulation of PTEN mRNA translation,Regulation of PTEN mRNA translation,True,1.0,10
TGF-beta receptor signaling activates SMADs,Signaling by TGF-beta Receptor Complex,False,0.5,36
Mitochondrial translation elongation,Mitochondrial translation elongation,True,1.0,68
Regulation of RAS by GAPs,Vif-mediated degradation of APOBEC3G,False,0.68,34
SPOP-mediated proteasomal degradation of PD-L1(CD274),Vif-mediated degradation of APOBEC3G,False,0.7727272727272727,34
Chromatin organization,HATs acetylate histones,False,0.2509505703422053,66
Gap junction trafficking and regulation,Gap junction trafficking and regulation,True,1.0,24
Degradation of CDH1,Vif-mediated degradation of APOBEC3G,False,0.673469387755102,33
RHOU GTPase cycle,RHOU GTPase cycle,True,1.0,35
Purine catabolism,Nucleotide catabolism,False,0.48,12
Regulation of CDH1 Function,Vif-mediated degradation of APOBEC3G,False,0.6226415094339622,33
Cyclin A/B1/B2 associated events during G2/M transition,Cyclin A/B1/B2 associated events during G2/M transition,True,1.0,20
Regulation of RUNX3 expression and activity,Vif-mediated degradation of APOBEC3G,False,0.75,33
Paracetamol ADME,Paracetamol ADME,True,1.0,14
Attachment and Entry_9694614,Defective B3GALT6 causes EDSP2 and SEMDJL1,False,0.4782608695652174,11
Mitochondrial translation,Mitochondrial translation elongation,False,0.8918918918918919,66
DNA Double-Strand Break Repair,Vif-mediated degradation of APOBEC3G,False,0.2595419847328244,34
AUF1 (hnRNP D0) binds and destabilizes mRNA,Vif-mediated degradation of APOBEC3G,False,0.7857142857142857,33
Repression of WNT target genes,Repression of WNT target genes,True,1.0,11
Cellular Senescence,Cellular Senescence,True,1.0,107
Signaling by NOTCH1,NOTCH1 Intracellular Domain Regulates Transcription,False,0.7213114754098361,44
Centrosome maturation,Recruitment of NuMA to mitotic centrosomes,False,0.8387096774193549,52
Recruitment of mitotic centrosome proteins and complexes,Recruitment of NuMA to mitotic centrosomes,False,0.8387096774193549,52
Transcriptional regulation of white adipocyte differentiation,Epigenetic regulation of adipogenesis genes by MLL3 and MLL4 complexes,False,0.3181818181818182,28
Regulation of PD-L1(CD274) Post-translational modification,Vif-mediated degradation of APOBEC3G,False,0.4722222222222222,34
Glycolysis,Metabolism of carbohydrates and carbohydrate derivatives,False,0.2535885167464115,53
Signaling by EGFR,Signaling by EGFR,True,1.0,31
Aberrant regulation of mitotic cell cycle due to RB1 defects,Aberrant regulation of mitotic cell cycle due to RB1 defects,True,1.0,31
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",Constitutive Signaling by Aberrant PI3K in Cancer,False,0.6470588235294118,44
Nephrin family interactions,Nephrin family interactions,True,1.0,18
Signal amplification,Signal amplification,True,1.0,25
NCAM signaling for neurite out-growth,NCAM signaling for neurite out-growth,True,1.0,43
Mitochondrial translation termination,Mitochondrial translation elongation,False,0.9285714285714286,65
NRAGE signals death through JNK,NRAGE signals death through JNK,True,1.0,44
Regulation of T cell activation by CD28 family,Regulation of T cell activation by CD28 family,True,1.0,149
Glycosaminoglycan-protein linkage region biosynthesis,Defective B3GALT6 causes EDSP2 and SEMDJL1,False,0.6785714285714286,19
Stabilization of p53,Vif-mediated degradation of APOBEC3G,False,0.7674418604651163,33
TP53 Regulates Transcription of Cell Cycle Genes,TP53 Regulates Transcription of Cell Cycle Genes,True,1.0,36
RND1 GTPase cycle,RND1 GTPase cycle,True,1.0,32
RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known,RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known,True,1.0,27
Glycosaminoglycan metabolism,Metabolism of carbohydrates and carbohydrate derivatives,False,0.3261802575107296,76
SLC-mediated transport of inorganic anions,SLC-mediated transport of inorganic anions,True,1.0,24
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,NOTCH1 Intracellular Domain Regulates Transcription,False,0.6666666666666666,36
Constitutive Signaling by NOTCH1 PEST Domain Mutants,NOTCH1 Intracellular Domain Regulates Transcription,False,0.6666666666666666,36
Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer,NOTCH1 Intracellular Domain Regulates Transcription,False,0.6666666666666666,36
Signaling by NOTCH1 PEST Domain Mutants in Cancer,NOTCH1 Intracellular Domain Regulates Transcription,False,0.6666666666666666,36
Signaling by NOTCH1 in Cancer,NOTCH1 Intracellular Domain Regulates Transcription,False,0.6666666666666666,36
Negative regulation of the PI3K/AKT network,Constitutive Signaling by Aberrant PI3K in Cancer,False,0.6027397260273972,44
PI3K Cascade,Constitutive Signaling by Aberrant PI3K in Cancer,False,0.2692307692307692,14
NIK-->noncanonical NF-kB signaling,Vif-mediated degradation of APOBEC3G,False,0.7333333333333333,33
Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,True,1.0,11
Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha,Vif-mediated degradation of APOBEC3G,False,0.8571428571428571,36
Autophagy,Autophagy,True,1.0,120
GRB2:SOS provides linkage to MAPK signaling for Integrins,GRB2:SOS provides linkage to MAPK signaling for Integrins,True,1.0,9
Signaling by FGFR,Signaling by FGFR,True,1.0,65
PKMTs methylate histone lysines,PKMTs methylate histone lysines,True,1.0,40
Meiotic recombination,Meiosis,False,0.4166666666666667,20
NS1 Mediated Effects on Host Pathways,NS1 Mediated Effects on Host Pathways,True,1.0,37
Mitochondrial translation initiation,Mitochondrial translation elongation,False,0.9285714285714286,65
Caspase-mediated cleavage of cytoskeletal proteins,Caspase-mediated cleavage of cytoskeletal proteins,True,1.0,11
Disorders of transmembrane transporters,Vif-mediated degradation of APOBEC3G,False,0.3333333333333333,33
RHO GTPases Activate Formins,RHO GTPases Activate Formins,True,1.0,108
Dectin-1 mediated noncanonical NF-kB signaling,Vif-mediated degradation of APOBEC3G,False,0.7111111111111111,32
NRIF signals cell death from the nucleus,NRIF signals cell death from the nucleus,True,1.0,12
NoRC negatively regulates rRNA expression,NoRC negatively regulates rRNA expression,True,1.0,39
Synthesis of glycosylphosphatidylinositol (GPI),Synthesis of glycosylphosphatidylinositol (GPI),True,1.0,14
UCH proteinases,Vif-mediated degradation of APOBEC3G,False,0.559322033898305,33
Macroautophagy,Autophagy,False,0.9083333333333333,109
Generation of second messenger molecules,Generation of second messenger molecules,True,1.0,21
Regulation of clotting cascade,Defective B3GALT6 causes EDSP2 and SEMDJL1,False,0.2972972972972973,11
DNA Damage/Telomere Stress Induced Senescence,DNA Damage/Telomere Stress Induced Senescence,True,1.0,22
Resolution of D-Loop Structures,Resolution of D-Loop Structures,True,1.0,28
Resolution of D-loop Structures through Holliday Junction Intermediates,Resolution of D-Loop Structures,False,1.0,28
Josephin domain DUBs,Josephin domain DUBs,True,1.0,11
PTEN Regulation,Vif-mediated degradation of APOBEC3G,False,0.28448275862068967,33
TRAF6 mediated IRF7 activation,TRAF6 mediated IRF7 activation,True,1.0,15
DNA Replication Pre-Initiation,Vif-mediated degradation of APOBEC3G,False,0.4583333333333333,33
RNA Polymerase I Transcription Termination,NoRC negatively regulates rRNA expression,False,0.5897435897435898,23
p130Cas linkage to MAPK signaling for integrins,GRB2:SOS provides linkage to MAPK signaling for Integrins,False,0.5384615384615384,7
Mitochondrial ribosome-associated quality control,Mitochondrial translation elongation,False,0.9285714285714286,65
Oxidative Stress Induced Senescence,Cellular Senescence,False,0.48148148148148145,52
Nuclear Receptor transcription pathway,Nuclear Receptor transcription pathway,True,1.0,37
SUMOylation of DNA replication proteins,NS1 Mediated Effects on Host Pathways,False,0.54,27
Transferrin endocytosis and recycling,Transferrin endocytosis and recycling,True,1.0,24
tRNA modification in the nucleus and cytosol,tRNA modification in the nucleus and cytosol,True,1.0,36
TRAF3-dependent IRF activation pathway,TRAF6 mediated IRF7 activation,False,0.6470588235294118,11
Amino acids regulate mTORC1,Transferrin endocytosis and recycling,False,0.3333333333333333,16
Nonhomologous End-Joining (NHEJ),Nonhomologous End-Joining (NHEJ),True,1.0,24
Adenylate cyclase inhibitory pathway,Adenylate cyclase inhibitory pathway,True,1.0,11
Gap junction trafficking,Gap junction trafficking and regulation,False,0.9166666666666666,22
GPER1 signaling,Signal amplification,False,0.3181818181818182,14
Response of Mtb to phagocytosis,Response of Mtb to phagocytosis,True,1.0,19
Interleukin receptor SHC signaling,Interleukin receptor SHC signaling,True,1.0,15
PD-L1(CD274) glycosylation and translocation to plasma membrane,PD-L1(CD274) glycosylation and translocation to plasma membrane,True,1.0,19
TICAM1-dependent activation of IRF3/IRF7,TICAM1-dependent activation of IRF3/IRF7,True,1.0,12
Regulation of TP53 Activity through Acetylation,Regulation of TP53 Activity through Acetylation,True,1.0,30
The role of GTSE1 in G2/M progression after G2 checkpoint,Vif-mediated degradation of APOBEC3G,False,0.6226415094339622,33
Postmitotic nuclear pore complex (NPC) reformation,NS1 Mediated Effects on Host Pathways,False,0.4418604651162791,19
Transcriptional regulation of pluripotent stem cells,Transcriptional regulation of pluripotent stem cells,True,1.0,12
Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects,Aberrant regulation of mitotic cell cycle due to RB1 defects,False,0.45161290322580644,14
"Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)",Aberrant regulation of mitotic cell cycle due to RB1 defects,False,0.45161290322580644,14
Regulation of innate immune responses to cytosolic DNA,TICAM1-dependent activation of IRF3/IRF7,False,0.3333333333333333,6
Removal of the Flap Intermediate,Removal of the Flap Intermediate,True,1.0,12
Prolactin receptor signaling,Prolactin receptor signaling,True,1.0,11
Nucleotide biosynthesis,Nucleotide biosynthesis,True,1.0,11
Telomere Extension By Telomerase,Telomere Extension By Telomerase,True,1.0,20
Defective Intrinsic Pathway for Apoptosis,Defective Intrinsic Pathway for Apoptosis,True,1.0,20
RAC1 GTPase cycle,CDC42 GTPase cycle,False,0.47560975609756095,78
Glycogen synthesis,Glycogen storage diseases,False,0.6428571428571429,9
BBSome-mediated cargo-targeting to cilium,BBSome-mediated cargo-targeting to cilium,True,1.0,18
Extracellular matrix organization,Extracellular matrix organization,True,1.0,213
Syndecan interactions,Syndecan interactions,True,1.0,18
Non-integrin membrane-ECM interactions,Syndecan interactions,False,0.3157894736842105,18
Synthesis of PA,Glycerophospholipid biosynthesis,False,0.2625,21
Signaling by Erythropoietin,Erythropoietin activates RAS,False,0.45,9
Downstream signaling of activated FGFR1,Signaling by FGFR,False,0.26153846153846155,17
Regulation of PD-L1(CD274) transcription,Regulation of PD-L1(CD274) transcription,True,1.0,34
Activation of SMO,Activation of SMO,True,1.0,15
Fibronectin matrix formation,Fibronectin matrix formation,True,1.0,14
Metabolism of folate and pterines,Metabolism of folate and pterines,True,1.0,15
HS-GAG biosynthesis,Defective B3GALT6 causes EDSP2 and SEMDJL1,False,0.34375,11
Cellular response to starvation,Major pathway of rRNA processing in the nucleolus and cytosol,False,0.3486238532110092,76
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,True,1.0,57
Glutamate and glutamine metabolism,Glutamate and glutamine metabolism,True,1.0,12
Fatty acid metabolism,Fatty acid metabolism,True,1.0,123
Mucopolysaccharidoses,Mucopolysaccharidoses,True,1.0,10
Post-translational modification: synthesis of GPI-anchored proteins,Synthesis of glycosylphosphatidylinositol (GPI),False,0.2692307692307692,14
"CHD6, CHD7, CHD8, CHD9 subfamily","CHD6, CHD7, CHD8, CHD9 subfamily",True,1.0,14
NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux,NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux,True,1.0,31
Respiratory syncytial virus (RSV) attachment and entry,Defective B3GALT6 causes EDSP2 and SEMDJL1,False,0.39285714285714285,11
Recycling pathway of L1,Gap junction trafficking and regulation,False,0.40476190476190477,17
EPH-ephrin mediated repulsion of cells,EPH-ephrin mediated repulsion of cells,True,1.0,39
Constitutive Signaling by EGFRvIII,Signaling by EGFR,False,0.29411764705882354,10
Signaling by EGFRvIII in Cancer,Signaling by EGFR,False,0.29411764705882354,10
Cell recruitment (pro-inflammatory response),The NLRP3 inflammasome,False,0.5789473684210527,11
Purinergic signaling in leishmaniasis infection,The NLRP3 inflammasome,False,0.5789473684210527,11
Signaling by ERBB2 ECD mutants,Signaling by EGFR,False,0.25,9
Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,True,1.0,22
tRNA Aminoacylation,tRNA Aminoacylation,True,1.0,20
Collagen biosynthesis and modifying enzymes,Collagen biosynthesis and modifying enzymes,True,1.0,53
RHOV GTPase cycle,RHOU GTPase cycle,False,0.425531914893617,20
Assembly of the pre-replicative complex,Vif-mediated degradation of APOBEC3G,False,0.4714285714285714,33
Estrogen-dependent gene expression,ESR-mediated signaling,False,0.5517241379310345,64
COPII-mediated vesicle transport,COPII-mediated vesicle transport,True,1.0,59
PCP/CE pathway,Vif-mediated degradation of APOBEC3G,False,0.4520547945205479,33
GAB1 signalosome,Signaling by EGFR,False,0.29411764705882354,10
RHO GTPase cycle,CDC42 GTPase cycle,False,0.2913165266106443,104
Striated Muscle Contraction,Striated Muscle Contraction,True,1.0,14
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,True,1.0,25
NGF-stimulated transcription,NGF-stimulated transcription,True,1.0,30
Toll Like Receptor 9 (TLR9) Cascade,Toll Like Receptor 9 (TLR9) Cascade,True,1.0,88
Degradation of cysteine and homocysteine,Sulfur amino acid metabolism,False,0.5454545454545454,12
RHOJ GTPase cycle,CDC42 GTPase cycle,False,0.32456140350877194,37
G2/M Checkpoints,Vif-mediated degradation of APOBEC3G,False,0.3402061855670103,33
Asparagine N-linked glycosylation,Asparagine N-linked glycosylation,True,1.0,240
ER to Golgi Anterograde Transport,Asparagine N-linked glycosylation,False,0.4738955823293173,118
Mitotic G2-G2/M phases,Recruitment of NuMA to mitotic centrosomes,False,0.4253731343283582,57
Fatty acyl-CoA biosynthesis,Fatty acid metabolism,False,0.25203252032520324,31
Regulation of KIT signaling,Regulation of KIT signaling,True,1.0,13
